fecha,id_cliente,producto,categoria,ciudad,unidades,precio_unitario,descuento,canal,ventas
2025-11-03,13375,Guantes gym,Deportes,Bogota,4,48100.0,0.05,En linea,182780.0
2025-06-05,19441,Licuadora,Hogar,Barranquilla,5,81800.0,0.0,Tienda,409000.0
2025-06-02,10603,Tapete yoga,Deportes,Bogota,2,75200.0,0.1,En linea,135360.0
2025-11-15,10698,Bicicleta estatica,Deportes,Bogota,3,42300.0,0.0,Tienda,126900.0
2025-08-29,15539,Tenis urbanos,Moda,Cali,1,94500.0,0.05,Tienda,89775.0
2025-03-04,19653,Audifonos BT,Tecnologia,Medellin,2,597200.0,0.0,Tienda,1194400.0
2025-08-23,15795,Aspiradora,Hogar,Cali,2,122600.0,0.15,Tienda,208420.0
2025-07-08,10901,Bolso cuero,Moda,Medellin,1,36400.0,0.15,En linea,30940.0
2025-09-11,13964,Juego de ollas,Hogar,Cali,3,244900.0,0.1,En linea,661230.0
2025-08-14,14338,Balon futbol,Deportes,Bogota,1,70100.0,0.0,Tienda,70100.0
2025-01-17,15460,Aspiradora,Hogar,Barranquilla,1,60400.0,0.0,Tienda,60400.0
2025-03-12,14985,Jean slim,Moda,Cali,1,66200.0,0.1,Tienda,59580.0
2025-11-12,13735,Juego de ollas,Hogar,Bogota,4,52700.0,0.15,Tienda,179180.0
2025-08-28,19566,Lampara LED,Hogar,Bogota,5,73700.0,0.1,Tienda,331650.0
2025-03-28,15688,Balon futbol,Deportes,Barranquilla,1,31300.0,0.0,En linea,31300.0
2025-08-05,16890,Bolso cuero,Moda,Medellin,3,117900.0,0.05,Tienda,336015.0
2025-06-18,12430,Portatil 14,Tecnologia,Cali,3,440100.0,0.15,En linea,1122255.0
2025-08-30,14718,Set de sabanas,Hogar,Cali,2,85400.0,0.15,En linea,145180.0
2025-06-13,12350,Monitor 24,Tecnologia,Cali,1,718200.0,0.1,Tienda,646380.0
2025-07-27,12981,Chaqueta impermeable,Moda,Cali,1,41600.0,0.15,En linea,35360.0
2025-11-09,17313,Tenis urbanos,Moda,Bogota,2,38600.0,0.05,En linea,73340.0
2025-10-10,15739,Bicicleta estatica,Deportes,Barranquilla,3,30300.0,0.1,Tienda,81810.0
2025-02-05,15938,Bolso cuero,Moda,Bogota,4,74900.0,0.05,Tienda,284620.0
